date,value, Registrerade bilar i Sverige, Årtal
1880,0
1920,0
1921,0
1922,0
1923,37823
1924,46557
1925,59122
1926,70485
1927,81465
1928,94301
1929,99144
1930,103664
1931,105283
1932,101817
1933,98889
1934,102145
1935,109096
1936,119303
1937,134296
1938,156573
1939,180717
1940,34646
1941,31854
1942,36749
1943,36194
1944,39137
1945,50108
1946,138489
1947,161226
1948,179587
1949,194454
1950,252503
1951,313058
1952,360552
1953,431085
1954,535857
1955,636543
1956,734533
1957,862992
1958,971973
1959,1087530
1960,1193910
1961,1304250
1962,1424050
1963,1556010
1964,1665780
1965,1792670
1966,1889000
1967,1976250
1968,2071300
1969,2193630
1970,2287710
1971,2356580
1972,2456940
1973,2502630
1974,2638890
1975,2760260
1976,2881310
1977,2857140
1978,2856180
1979,2868300
1980,2882960
1981,2893000
1982,2936000
1983,3007000
1984,3081000
1985,3151000
1986,3254000
1987,3367000
1988,3483000
1989,3578000
1990,3601000
1991,3619000
1992,3589000
1993,3566000
1994,3594000
1995,3631000
1996,3655000
1997,3703000
1998,3792000
1999,3890000
2000,3999000
2001,4019000
2002,4045000
2003,4078000
2004,4113424
2005,4153674
2006,4202463
2007,4258463
2008,4278995
2009,4300752
2010,4335182
2011,4401352
2012,4447165
2013,4495473
2014,4585520
2015,4669063
2016,4768060
2017,4845609
2018,4870783
2019,4887904
2020,4944067
2021,4986750
2022,5105608
